ก.,kX-1
กระตุ้งกระติ้ง,kra-1 tuN3 kra-1 tiN3
กระตุ้น,kra-1 tun3
กระตุ้นเตือน,kra-1 tun3 tWn1
กระตูบ,
กระต่องกระแต่ง,
กระต่าย,kra-1 tAj2
กระต่ายขาเดียว,
กระต่ายขูด,
กระต่ายขูดมะพร้าว,kra-1 tAj2 KUt2 ma?4 PrAw4
กระต่ายจันทร์,
กระต่ายจาม,
กระต่ายจีน,
กระต่ายชมจันทร์,kra-1 tAj2 Com1 can1
กระต่ายตื่นตูม,kra-1 tAj2 tVn2 tUm1
กระต่ายต้องแร้ว,
กระต่ายป่า,kra-1 tAj2 pA-2
กระต่ายสามขา,kra-1 tAj2 sAm5 KA-5
กระต่ายหมายจันทร์,kra-1 tAj2 mAj5 can1
กระต่ายเต้น,
กระต่ายแก่แม่ปลาช่อน,
กระต้วมกระเตี้ยม,
กระต้อ,
กระต้อยตีวิด,
กระต๊อบ,kra-1 tXp4
กระถด,kra-1 Tot2
กระถอบ,
กระถั่ว,
กระถาง,kra-1 TAN5
กระถางดอกไม้,
กระถางต้นไม้,kra-1 TAN5 ton3 mAj4
กระถางธูป,kra-1 TAN5 TUp3
กระถิก,
กระถิน,kra-1 Tin5
กระถินนา,kra-1 Tin5 nA-1
กระถินพิมาน,
กระถินหอม,
กระถินเทศ,kra-1 Tin5 TEt3
กระถึก,
กระทก,kra-1 Tok4
กระทง,kra-1 ToN1
กระทงความ,kra-1 ToN1 KwAm1
กระทงทอง,
กระทงนา,kra-1 ToN1 nA-1
กระทงน้อย,
กระทงป่า,kra-1 ToN1 pA-2
กระทงลาย,kra-1 ToN1 lAj1
กระทงหยิบ,
กระทงเจิม,
กระทงเพชร,kra-1 ToN1 Pet4
กระทงเหิน,
กระทงแถลง,
กระทด,kra-1 Tot4
กระทดกระทวย,
กระทดกระทัน,
กระทบ,kra-1 Top4
กระทบกระทั่ง,kra-1 Top4 kra-1 TaN3
กระทบกระเทียบ,kra-1 Top4 kra-1 TJp3
กระทบกระเทือน,kra-1 Top4 kra-1 TWn1
กระทบกระเทือนใจ,
กระทบกระแทก,kra-1 Top4 kra-1 TYk3
กระทบใจ,kra-1 Top4 caj1
กระทบไหล่,kra-1 Top4 laj2
กระทรวง,kra-1 sRN1
กระทรวงกลาโหม,kra-1 sRN1 ka-2 lA-1 hOm5
กระทรวงการคลัง,kra-1 sRN1 kAn1 KlaN1
