ก.,kX-1
ลุ่น,
ลุ่น ๆ,
ลุ่นตุ้น,
ลุ่นโตง,
ลุ่ม,lum3
ลุ่ม ๆ ดอน ๆ,
ลุ่มน้ำ,lum3 nAm4
ลุ่มลึก,lum3 lvk4
ลุ่มหลง,lum3 loN5
ลุ่มเนื้อ,
ลุ่มเล้า,
ลุ่มๆ ดอนๆ,
ลุ่ย,luj3
ลุ่ยหู,
ลุ้ง,
ลุ้น,lun4
ลุ้ย,luj4
ลูก,lUk3
ลูก ๆ หลาน ๆ,
ลูกกก,lUk3 kok2
ลูกกบ,lUk3 kop2
ลูกกรง,lUk3 kroN1
ลูกกรงเหล็ก,
ลูกกรด,lUk3 krot2
ลูกกรอก,lUk3 krXk2
ลูกกระจ๊อก,
ลูกกระดุม,lUk3 kra-1 dum1
ลูกกระพรวน,lUk3 kra-1 PrRn1
ลูกกระวิน,
ลูกกระสุน,lUk3 kra-1 sun5
ลูกกระสุนปืน,lUk3 kra-1 sun5 pVn1
ลูกกระเดือก,lUk3 kra-1 dWk2
ลูกกระแอม,lUk3 kra-1 ?Ym1
ลูกกระได,lUk3 kra-1 daj1
ลูกกรุง,lUk3 kruN1
ลูกกลอน,lUk3 klXn1
ลูกกลิ้ง,lUk3 kliN3
ลูกกวาด,lUk3 kwAt2
ลูกกวิน,
ลูกกะจ๊อก,
ลูกกะเดือก,
ลูกกะแอ,
ลูกกะโล่,lUk3 ka-1 lO-3
ลูกกัลปพฤกษ์,
ลูกกำพร้า,lUk3 kam1 PrA-4
ลูกกุญแจ,lUk3 kun1 cY-1
ลูกขนไก่,lUk3 Kon5 kaj2
ลูกขวัญ,lUk3 Kwan5
ลูกขวาน,lUk3 KwAn5
ลูกขัด,lUk3 Kat2
ลูกขุน,lUk3 Kun5
ลูกขุน ณ ศาลหลวง,
ลูกขุน ณ ศาลา,
ลูกขุนพลอยพยัก,
ลูกขุนศาลหลวง,
ลูกขุนศาลา,
ลูกข่าง,lUk3 KAN2
ลูกข้าว,lUk3 KAw3
ลูกครอก,lUk3 KrXk3
ลูกครึ่ง,lUk3 KrvN3
ลูกคลัก,
ลูกคลื่น,lUk3 KlVn3
ลูกความ,lUk3 KwAm1
ลูกคอ,lUk3 KX-1
ลูกคอก,lUk3 KXk3
ลูกคัน,lUk3 Kan1
ลูกคำ,lUk3 Kam1
ลูกคิด,lUk3 Kit4
ลูกคู่,lUk3 KU-3
ลูกค้า,lUk3 KA-4
ลูกค้าประจำ,lUk3 KA-4 pra-1 cam1
ลูกฆ้อง,lUk3 KXN4
ลูกจาก,lUk3 cAk2
ลูกจ้าง,lUk3 cAN3
ลูกจ้างชั่วคราว,
ลูกจ้างประจำ,
ลูกจ้างรัฐบาล,
ลูกจ๊อก,lUk3 cXk4
ลูกชะเนาะ,
ลูกชักครอก,
ลูกชาย,lUk3 CAj1
ลูกชิด,lUk3 Cit4
ลูกชิ้น,lUk3 Cin4
ลูกชุบ,lUk3 Cup4
ลูกช่วง,lUk3 CRN3
ลูกช้าง,lUk3 CAN4
ลูกซอง,lUk3 sXN1
ลูกซัด,lUk3 sat4
ลูกดก,lUk3 dok2
ลูกดอก,lUk3 dXk2
ลูกดาล,lUk3 dAn1
ลูกดิน,lUk3 din1
ลูกดิ่ง,lUk3 diN2
ลูกดุม,lUk3 dum1
ลูกตก,lUk3 tok2
ลูกตอด,lUk3 tXt2
ลูกตะกั่ว,lUk3 ta-1 kR-2
ลูกตะเพรา,
ลูกตัว,lUk3 tR-1
ลูกตั้ง,lUk3 taN3
ลูกตา,lUk3 tA-1
ลูกติด,lUk3 tit2
ลูกติดท้อง,
ลูกติดพัน,lUk3 tit2 Pan1
ลูกตุ้ม,lUk3 tum3
ลูกตุ้มมะพร้าว,
ลูกตุ้มเหล็ก,
ลูกถวิน,
ลูกถ้วย,lUk3 TRj3
ลูกทรพี,lUk3 TX-1 ra-4 PI-1
ลูกทอย,lUk3 TXj1
ลูกทัพฟ้า,
ลูกทัวร์,lUk3 TR-1
ลูกทาส,lUk3 TAt3
ลูกทีม,lUk3 TIm1
ลูกทุ่ง,lUk3 TuN3
ลูกท่านหลานเธอ,lUk3 Tan3 lAn5 TZ-1
ลูกธนู,lUk3 Ta-4 nU-1
ลูกนอกกฎหมาย,lUk3 nXk3 kot2 mAj5
ลูกนอกคอก,lUk3 nXk3 KXk3
ลูกนอกสมรส,lUk3 nXk3 som5 rot4
ลูกนา,lUk3 nA-1
ลูกนิมิต,lUk3 ni?4 mit4
ลูกน้อง,lUk3 nXN4
ลูกน้ำ,lUk3 nAm4
ลูกน้ำหนัก,lUk3 nam4 nak2
ลูกน้ำเค็ม,lUk3 nam4 Kem1
ลูกบท,lUk3 bot2
ลูกบวบ,lUk3 bRp2
ลูกบอล,lUk3 bXn1
ลูกบอลลูน,lUk3 bXn1 lUn1
ลูกบันได,lUk3 ban1 daj1
ลูกบัลลูน,lUk3 ban1 lUn1
ลูกบาศก์,lUk3 bAt2
ลูกบาศก์เซนติเมตร,
ลูกบาศก์เมตร,lUk3 bAt2 met4
ลูกบิด,lUk3 bit2
ลูกบุญธรรม,lUk3 bun1 Tam1
ลูกบ้าน,lUk3 bAn3
ลูกประคบ,lUk3 pra-1 Kop4
ลูกประคำ,lUk3 pra-1 Kam1
ลูกประคำผี,
ลูกประดู่,lUk3 pra-1 dU-2
ลูกประสม,lUk3 pra-1 som5
ลูกประสัก,
ลูกประหล่ำ,
ลูกปราย,lUk3 prAj1
ลูกปละ,lUk3 pla?2
ลูกปลา,lUk3 plA-1
ลูกปะกน,
ลูกปัด,lUk3 pat2
ลูกปา,lUk3 pA-1
ลูกปืน,lUk3 pVn1
ลูกปืนใหญ่,lUk3 pVn1 jaj2
ลูกป้อม,lUk3 pXm3
ลูกผม,lUk3 Pom5
ลูกผสม,lUk3 Pa-2 som5
ลูกผักชี,lUk3 Pak2 CI-1
ลูกผักบุ้ง,lUk3 Pak2 buN3
ลูกผีลูกคน,lUk3 PI-5 lUk3 Kon1
ลูกผึ้ง,lUk3 PvN3
ลูกผู้ชาย,lUk3 PU-3 CAj1
ลูกผู้น้อง,
ลูกผู้พี่,
ลูกผู้หญิง,lUk3 PU-3 jiN5
ลูกฝาแฝด,lUk3 fA-5 fYt2
ลูกพรรค,lUk3 Pak4
ลูกพรวน,lUk3 PrRn1
ลูกพริก,lUk3 Prik4
ลูกพลู,lUk3 PlU-1
ลูกพี่,lUk3 PI-3
ลูกพี่ลูกน้อง,lUk3 PI-3 lUk3 nXN4
ลูกฟัก,lUk3 fak4
ลูกฟักหน้าพรหม,
ลูกฟุตบอล,lUk3 fut4 bXn1
ลูกฟูก,lUk3 fUk3
ลูกมะนาว,lUk3 ma?4 nAw1
ลูกมะหวด,
ลูกมาด,lUk3 mAt3
ลูกมือ,lUk3 mV-1
ลูกมโหตร,
ลูกยอ,lUk3 jX-1
ลูกยอด,lUk3 jXt3
ลูกยาเธอ,
ลูกยุ,lUk3 ju?4
ลูกย่าง,lUk3 jAN3
ลูกรอก,lUk3 rXk3
ลูกระนาด,lUk3 ra?4 nAt3
ลูกระมาศ,
ลูกระเบิด,lUk3 ra?4 bZt2
ลูกรัง,lU-1 kraN1
ลูกรุ่ย,
ลูกลม,lUk3 lom1
ลูกลอย,lUk3 lXj1
ลูกลิงลูกค่าง,
ลูกลื่น,lUk3 lVn3
ลูกล่า,lUk3 lA-3
ลูกล้อ,lUk3 lX-4
ลูกวัด,lUk3 wat4
ลูกศร,lUk3 sXn5
ลูกศิษย์,lUk3 sit2
ลูกศิษย์ลูกหา,
ลูกศิษย์วัด,lUk3 sit2 wat4
ลูกสมภารหลานเจ้าวัด,
ลูกสมุน,lUk3 sa-1 mun5
ลูกสวน,lUk3 sRn5
ลูกสวรรค์,lUk3 sa-1 wan5
ลูกสวาท,lUk3 sa-1 wAt2
ลูกสะกด,lUk3 sa-1 kot2
ลูกสะบ้า,lUk3 sa?2 bA-3
ลูกสะใภ้,lUk3 sa?2 Paj4
ลูกสักหลาด,lUk3 sak2 ka-2 lAt2
ลูกสังกะสี,lUk3 saN5 ka-1 sI-5
ลูกสาว,lUk3 sAw5
ลูกสุดท้อง,lUk3 sut2 TXN4
ลูกสูบ,lUk3 sUp2
ลูกหนัง,lUk3 naN5
ลูกหนี้,lUk3 nI-3
ลูกหนี้ชั้นต้น,
ลูกหนี้ตามคำพิพากษา,
ลูกหนี้ร่วม,
ลูกหนี้ร่วมกัน,
ลูกหนุน,lUk3 nun5
ลูกหนู,lUk3 nU-5
ลูกหมด,lUk3 mot2
ลูกหมาก,lUk3 mAk2
ลูกหมู่,lUk3 mU-2
ลูกหม่อ,
ลูกหม้อ,lUk3 mX-3
ลูกหลง,lUk3 loN5
ลูกหลงแม่,
ลูกหลวง,lUk3 lRN5
ลูกหลาน,lUk3 lAn5
ลูกหัวปี,lUk3 hR-5 pI-1
ลูกหัวแก้วหัวแหวน,lUk3 hR-5 kYw3 hR-5 wYn5
ลูกหาบ,lUk3 hAp2
ลูกหิน,lUk3 hin5
ลูกหินบด,
ลูกหีบ,lUk3 hIp2
ลูกอกตัญญู,lUk3 ?a?2 ka-2 tan1 jU-1
ลูกอม,lUk3 ?om1
ลูกอัณฑะ,lUk3 ?an1 Ta?4
ลูกอิจฉา,lUk3 ?it2 CA-5
ลูกอ่อน,lUk3 ?Xn2
ลูกอ๊อด,lUk3 ?Xt4
ลูกเกด,lUk3 kEt2
ลูกเก็บ,lUk3 kep2
ลูกเขย,lUk3 KZj5
ลูกเขยตายแม่ยายทำศพ,
ลูกเคล้า,lUk3 KlAw4
ลูกเจี๊ยบ,lUk3 cJp4
ลูกเดือย,lUk3 dWj1
ลูกเด็กเล็กแดง,lUk3 dek2 lek4 dYN1
ลูกเต้า,lUk3 taw3
ลูกเต้าเล้าอ่อน,lUk3 taw3 law4 ?Xn2
ลูกเต๋า,lUk3 taw5
ลูกเถื่อน,lUk3 TWn2
ลูกเทนนิส,lUk3 TEn1 nit4
ลูกเธอ,lUk3 TZ-1
ลูกเนรคุณ,lUk3 nE-1 ra-4 Kun1
ลูกเนียง,lUk3 nJN1
ลูกเน่ง,
ลูกเบี้ยว,lUk3 bJw3
ลูกเมียน้อย,lUk3 mJ-1 nXj4
ลูกเมียหลวง,lUk3 mJ-1 lRN5
ลูกเรือ,lUk3 rW-1
ลูกเลี้ยง,lUk3 lJN4
ลูกเลื่อน,lUk3 lWn3
ลูกเล็กเด็กแดง,lUk3 lek4 dek2 dYN1
ลูกเล่น,lUk3 len3
ลูกเวรลูกกรรม,
ลูกเสือ,lUk3 sW-5
ลูกเสือชาวบ้าน,lUk3 sW-5 CAw1 bAn3
ลูกเสือลูกตะเข้,
ลูกเหม็น,lUk3 men5
ลูกเห็บ,lUk3 hep2
ลูกเอ็น,lUk3 ?en1
ลูกเอ็ล,
ลูกแก้ว,lUk3 kYw3
ลูกแก้วลูกขวัญ,
ลูกแชร์,lUk3 CY-1
ลูกแซ็ก,
ลูกแตก,lUk3 tYk2
ลูกแถว,lUk3 Tyw5
ลูกแบดมินตัน,lUk3 bYt2 min1 tan1
ลูกแป,lUk3 pY-1
ลูกแฝด,lUk3 fYt2
ลูกแห,lUk3 hY-5
ลูกแหง่,lUk3 NY-2
ลูกแอก,lUk3 ?Yk2
ลูกโกลน,lUk3 klOn1
ลูกโซ่,lUk3 sO-3
ลูกโดด,lUk3 dOt2
ลูกโทน,lUk3 TOn1
ลูกโทษ,lUk3 TOt3
ลูกโป่ง,lUk3 pON2
ลูกโป่งสวรรค์,lUk3 pON2 sa-1 wan5
ลูกโม่,lUk3 mO-3
ลูกโยน,lUk3 jOn1
ลูกโลก,lUk3 lOk3
ลูกใต้ใบ,
ลูกในไส้,lUk3 naj1 saj3
ลูกไก่,lUk3 kaj2
ลูกไก่อยู่ในกำมือ,
ลูกไผ่,lUk3 Paj2
ลูกไฟ,lUk3 faj1
ลูกไม่มีพ่อ,lUk3 maj3 mI-1 PX-3
ลูกไม้,lUk3 maj4
ลูกไม้หล่นไม่ไกลต้น,
ลูกไร,lUk3 raj1
ลูกไล่,lUk3 laj3
ลูขะ,
ลูตา,
ลูติกา,
ลูทีเชียม,
ลูนะ,
ลูบ,lUp3
ลูบคม,lUp3 Kom1
ลูบคลำ,lUp3 Klam1
ลูบตัว,lUp3 tR-1
ลูบหน้าปะจมูก,lUp3 nA-3 pa?2 ca-2 mUk2
ลูบหน้าลูบหลัง,
ลูบอก,
ลูบเนื้อลูบตัว,
ลูบไล้,lUp3 laj4
ลูป,
ลูลู่,
ลูเซีย,
ลู่,lU-3
ลู่ทาง,lU-3 TAN1
ลู่ทู่,
ลู่หลี่,
ลู่ออก,
ลู่เข้า,
ล็อก,lxk4
ล็อกซเล่ย์,
ล็อกอิน,lxk4 ?in1
ล็อกเกต,lxk4 kEt2
ล็อกเกอร์,lxk4 kZ-1
ล็อกเลข,
ล็อค,lxk4
ล็อคเกอร์,lxk4 kZ-1
ล็อต,
ล็อตเตอรี่,lxt4 tZ-1 rI-3
ล็อตโต้,
ล็อบบี้,lxp4 bI-3
ล่ก,
ล่ก ๆ,
ล่ง,
ล่น,
ล่ม,lom3
ล่มจม,lom3 com1
ล่มฟ้า,
ล่มสลาย,lom3 sa-1 lAj5
ล่มหัวจมท้าย,lom3 hR-5 com1 TAj4
ล่วง,lRN3
ล่วงขื่อ,
ล่วงคำ,
ล่วงประเวณี,lRN3 pra-1 wE-1 nI-1
ล่วงพ้น,
ล่วงรู้,lRN3 rU-4
ล่วงรู้ความลับ,
ล่วงละเมิด,lRN3 la?4 mZt3
ล่วงลับ,lRN3 lap4
ล่วงล้ำ,lRN3 lam4
ล่วงว่า,
ล่วงหน้า,lRN3 nA-3
ล่วงเกิน,lRN3 kZn1
ล่วงเลย,lRN3 lZj1
ล่วงเวลา,lRN3 wE-1 lA-1
ล่วงแป,
ล่วม,lRm3
ล่วมยา,lRm3 jA-1
ล่อ,lX-3
ล่อกแล่ก,lxk3 lyk3
ล่อง,lXN3
ล่องจวน,
ล่องชาด,
ล่องซุง,lxN3 suN1
ล่องถุน,
ล่องลอย,lXN3 lXj1
ล่องหน,lXN3 hon5
ล่องหนหายตัว,lXN3 hon5 hAj5 tR-1
ล่องเรือ,lXN3 rW-1
ล่องแก่ง,lXN3 kyN2
ล่องแพ,lXN3 PY-1
ล่องแมว,
ล่องใต้,lXN3 tAj3
ล่อตา,lX-3 tA-1
ล่อน,lXn3
ล่อนจ้อน,lXn3 cXn3
ล่อนหลุด,lXn3 lut2
ล่อนแก่น,lXn3 kyn2
ล่อมือ,
ล่อย,lXj3
ล่อลวง,lX-3 lRN1
ล่อหน่วย,
ล่อหน้า,
ล่อหลอก,lX-3 lXk2
ล่อหูล่อตา,
ล่อแล่,
ล่อแหลม,lX-3 lYm5
ล่อใจ,lX-3 caj1
ล่ะ,la?3
ล่า,lA-3
ล่าง,lAN3
ล่าช้า,lA-3 CA-4
ล่าถอย,lA-3 TXj5
ล่าทัพ,lA-3 Tap4
ล่าน,
ล่าม,lAm3
ล่ามโซ่,lAm3 sO-3
ล่าสัตว์,lA-3 sat2
ล่าสุด,lA-3 sut2
ล่าเตียง,
ล่ำ,lam3
ล่ำบึ้ก,
ล่ำลา,
ล่ำสัน,lam3 san5
ล้งเล้ง,loN4 leN4
ล้น,lon4
ล้นกระเพาะ,
ล้นตลาด,
ล้นพ้น,lon4 Pon4
ล้นฟ้า,
ล้นมือ,lon4 mV-1
ล้นหลาม,lon4 lAm5
ล้นเกล้าล้นกระหม่อม,lon4 klaw3 lon4 kra-1 mXm2
ล้นเหลือ,lon4 lW-5
ล้ม,lom4
ล้มกระดาน,lom4 kra-1 dAn1
ล้มกลิ้ง,lom4 kliN3
ล้มกลิ้งล้มหงาย,
ล้มคว่ำ,lom4 Kwam3
ล้มคว่ำคะมำหงาย,
ล้มคะมำ,
ล้มช้าง,
ล้มตะเข็บ,
ล้มตาย,lom4 tAj1
ล้มทับ,
ล้มทั้งยืน,lom4 TaN4 jVn1
ล้มฝา,
ล้มพับ,lom4 Pap4
ล้มมวย,
ล้มระเนระนาด,
ล้มละลาย,lom4 la?4 lAj1
ล้มลุก,lom4 luk4
ล้มลุกคลุกคลาน,lom4 luk4 Kluk4 KlAn1
ล้มล้าง,lom4 lAN4
ล้มหมอนนอนเสื่อ,lom4 mXn5 nXn1 sW-2
ล้มหายตายจาก,lom4 hAj5 tAj1 cAk2
ล้มเค้า,
ล้มเจ็บ,lom4 cep2
ล้มเลิก,lom4 lZk3
ล้มเหลว,lom4 lEw5
ล้มแผละ,
ล้มโต๊ะ,
ล้มไม่ลง,
ล้วง,lRN4
ล้วงกระเป๋า,lRN4 kra-1 paw5
ล้วงควัก,
ล้วงคอ,
ล้วงคองูเห่า,
ล้วงตับ,
ล้วงลึก,lRN4 lvk4
ล้วงไส้,
ล้วน,lRn4
ล้วน ๆ,
ล้วนด้วย,
ล้วนแต่,lRn4 tY-2
ล้วนแล้ว,lRn4 lYw4
ล้วนแล้วแต่,lRn4 lYw4 tY-2
ล้อ,lX-4
ล้อความตาย,
ล้อต๊อก,
ล้อฟันเฟือง,
ล้อม,lXm4
ล้อมกรอบ,lXm4 krXp2
ล้อมคอก,lXm4 KXk3
ล้อมปรวด,
ล้อมรอบ,lXm4 rXp3
ล้อมรั้ว,lXm4 rR-4
ล้อมฤตยู,
ล้อมวง,
ล้อมวัง,
ล้อมหน้าล้อมหลัง,lXm4 nA-3 lXm4 laN5
ล้อมัจจุราช,
ล้อรถ,lX-4 rot4
ล้อหน้า,lX-4 nA-3
ล้อหมุน,
ล้อหลอก,
ล้อหลัง,lX-4 laN5
ล้อเลียน,lX-4 lJn1
ล้อเลื่อน,lX-4 lWn3
ล้อเล่น,lX-4 len3
ล้อแบบ,
ล้า,lA-4
ล้าง,lAN4
ล้างคอ,lAN4 KX-1
ล้างคอมะพร้าว,
ล้างจาน,lAN4 cAn1
ล้างซวย,lAN4 sRj1
ล้างท้อง,lAN4 TXN4
ล้างน้ำ,lAN4 nAm4
ล้างบาง,lAN4 bAN1
ล้างบาป,lAN4 bAp2
ล้างปาก,lAN4 pAk2
ล้างป่าช้า,lAN4 pA-2 CA-4
ล้างผลาญ,lAN4 PlAn5
ล้างฟิลม์,
ล้างฟิล์ม,lAN4 fim1
ล้างมลทิน,lAN4 mon1 Tin1
ล้างมือ,lAN4 mV-1
ล้างยา,lAN4 jA-1
ล้างรถ,lAN4 rot4
ล้างรูป,lAN4 rUp3
ล้างสต๊อก,lAN4 sa-1 txk4
ล้างสมอง,lAN4 sa-1 mXN5
ล้างหนี้,lAN4 nI-3
ล้างหน้า,lAN4 nA-3
ล้างหน้าผี,
ล้างหน้าล้างตา,
ล้างหน้าศพ,
ล้างหู,lAN4 hU-5
ล้างอาถรรพณ์,lAN4 ?A-1 Tap2
ล้างอาถรรพ์,lAN4 ?A-1 Tan5
ล้างอาย,lAN4 ?Aj1
ล้างาด,
ล้างแค้น,lAN4 KYn4
ล้างแผล,lAN4 PlY-5
ล้างโลก,lAN4 lOk3
ล้างไพ่,lAN4 Paj3
ล้าต้า,
ล้าน,lAn4
ล้านช้าง,
ล้านนา,lAn4 nA-1
ล้าย,
ล้าสมัย,lA-4 sa-1 maj5
ล้าหลัง,lA-4 laN5
ล้าเตียง,
ล้าเต้,
ล้ำ,lam4
ล้ำค่า,lam4 KA-3
ล้ำยุค,lam4 juk4
ล้ำลึก,lAm4 lvk4
ล้ำสมัย,lam4 sa-1 maj5
ล้ำหน้า,lam4 nA-3
ล้ำเลิศ,lAm4 lZt3
ล้ำเส้น,lam4 sen3
ล๊อต,
ลํ้าค่า,
ฦๅ,
ฦๅชา,
ฦๅสาย,
ว.ค.,
ว.ด.ป.,
ว/ด/ป,
วก,wok4
วกกลับ,wok4 klap2
วกวน,wok4 won1
วกะ,
วกุละ,
วกเวียน,wok4 wJn1
วกไปวนมา,wok4 paj1 won1 mA-1
วค.,
วง,woN1
วงกต,woN1 kot2
