thai,phone
กรอส,krX2t
กระ,kra2ʔ
กระจิ๋ว,kra2ʔ ci5w
กระจิ๋วหลิว,kra2ʔ ci5w li5w
กระจู๋,kra2ʔ cU5
กระเจี๊ยว,kra2ʔ cJ4w
กระดอ,kra2ʔ dX1
กระดอน,kra2ʔ dX1n
กระเด้า,kra2ʔ da3w
กระโดด,kra2ʔ dO2t
กระโดดเชือก,kra2ʔ dO2t CR3k
กระโดดน้ำ,kra2ʔ dO2t nA4m
กระโดดร่ม,kra2ʔ dO2t ro3m
กระโดดโลดเต้น,kra2ʔ dO2t lO3t te3n
กระโดดสูง,kra2ʔ dO2t sU5ŋ
กระทำ,kra2ʔ Ta1m
กระทำกับ,kra2ʔ Ta1m ka2p
กระทำการฆาตกรรม,kra2ʔ Ta1m kA1n KA3t ka1m
กระทำฆาตกรรม,kra2ʔ Ta1m KA3t ta2ʔ ka1m
กระทำมิดีมิร้าย,kra2ʔ Ta1m mi4ʔ dI1 mi4ʔ rA4j
กระทำย่ำยี,kra2ʔ Ta1m ja3m jI1
กระนั้น,kra2ʔ na4n
กระไร,kra2ʔ ra1j
กระหาย,kra2ʔ hA5j
กระหายข่าว,kra2ʔ hA5j KA2w
กระหายความสำเร็จ,kra2ʔ hA5j KwA1m sa5m re2t
กระหายน้ำ,kra2ʔ hA5j nA4m
กระหายเลือด,kra2ʔ hA5j lR3t
กระหายสงคราม,kra2ʔ hA5j so5ŋ KrA1m
กระหายอำนาจ,kra2ʔ hA5j ʔa1m nA3t
กระหืดกระหอบ,kra2ʔ hW2t kra2ʔ hX2p
กระจก,kra2ʔ co2k
กระจกกันกระสุน,kra2ʔ co2k ka1n kra2ʔ su5n
กระจกข้าง,kra2ʔ co2k KA3ŋ
กระจกเงา,kra2ʔ co2k ŋa1w
กระจกเงาสะท้อนคลื่นแสง,kra2ʔ co2k ŋa1w sa2ʔ TX4n KlW3n sY5ŋ
กระจกตา,kra2ʔ co2k tA1
กระจกที่เต็มไปด้วยรอยร้าว,kra2ʔ co2k TI3 te1m pa1j dV3j rX1j rA4w
กระจกนูน,kra2ʔ co2k nU1n
กระจกบังลมตอนหลังรถ,kra2ʔ co2k ba1ŋ lo1m tX1n la5ŋ ro4t
กระจกบังลมหน้า,kra2ʔ co2k ba1ŋ lo1m nA3
กระจกแผ่น,kra2ʔ co2k Pɛ2n
กระจกฝ้า,kra2ʔ co2k fA3
กระจกมองหลัง,kra2ʔ co2k mX1ŋ la5ŋ
กระจกเว้า,kra2ʔ co2k wa4w
กระจกส่อง,kra2ʔ co2k sX2ŋ
กระจกส่องหลัง,kra2ʔ co2k sX2ŋ la5ŋ
กระจกสี,kra2ʔ co2k sI5
กระจกหน้าต่าง,kra2ʔ co2k nA3 tA2ŋ
กระจกหน้ารถ,kra2ʔ co2k nA3 ro4t
กระจกหน้ารถยนต์,kra2ʔ co2k nA3 ro4t jo1n
กระจกหลัง,kra2ʔ co2k la5ŋ
กระจกหุง,kra2ʔ co2k hu5ŋ
กระจง,kra2ʔ co1ŋ
กระจงหลังเงิน,kra2ʔ co1ŋ la5ŋ ŋə1n
กระจอก,kra2ʔ cX2k
กระจอกงอกง่อย,kra2ʔ cX2k ŋX3k ŋX3j
กระจอกข่าว,kra2ʔ cX2k KA2w
กระจ้อย,kra2ʔ cX3j
กระจ้อยร่อย,kra2ʔ cX3j rX3j
กระจะ,kra2ʔ ca2ʔ
