thai,phone
กระชัง,kra2ʔ Ca1ŋ
กระชังก้นรั่ว,kra2ʔ Ca1ŋ ko3n rV3
กระชั้น,kra2ʔ Ca4n
กระชั้นชิด,kra2ʔ Ca4n Ci4t
กระชับ,kra2ʔ Ca4p
กระชับพื้นที่,kra2ʔ Ca4p PW4n TI3
กระชับมิตร,kra2ʔ Ca4p mi4t
กระชับวงล้อม,kra2ʔ Ca4p wo1ŋ lX4m
กระชับสัมพันธไมตรี,kra2ʔ Ca4p sa5m Pa1n Ta4ʔ ma1j trI1
กระชับอำนาจ,kra2ʔ Ca4p ʔa1m nA3t
กระชาก,kra2ʔ CA3k
กระชากวัย,kra2ʔ CA3k wa1j
กระชาย,kra2ʔ CA1j
กระชุ่มกระชวย,kra2ʔ Cu3m kra2ʔ CV1j
กระเชอ,kra2ʔ CZ1
กระเชอก้นรั่ว,kra2ʔ CZ1 ko3n rV3
กระเช้า,kra2ʔ Ca4w
กระเช้าของขวัญ,kra2ʔ Ca4w KX5ŋ Kwa5n
กระเช้านางสีดา,kra2ʔ Ca4w nA1ŋ sI5 dA1
กระเช้าไฟฟ้า,kra2ʔ Ca4w fa1j fA4
กระเช้าเยี่ยม,kra2ʔ Ca4w jJ3m
กระเช้าลอยฟ้า,kra2ʔ Ca4w lX1j fA4
กระเช้าหน้ารถ,kra2ʔ Ca4w nA3 ro4t
กระแชง,kra2ʔ CY1ŋ
กระโชก,kra2ʔ CO3k
กระโชกกระชาก,kra2ʔ CO3k kra2ʔ CA3k
กระโชกโฮกฮาก,kra2ʔ CO3k hO3k hA3k
กระซาบ,kra2ʔ sA3p
กระซิบ,kra2ʔ si4p
กระซิบกระซาบ,kra2ʔ si4p kra2ʔ sA3p
กระเซ็น,kra2ʔ se1n
กระเซอะกระเซิง,kra2ʔ sə4ʔ kra2ʔ sZ1ŋ
กระเซ้า,kra2ʔ sA4w
กระเซ้าเย้าแหย่,kra2ʔ sA4w jA4w jY2
กระเซ้ากระซี้,kra2ʔ sA4w kra2ʔ sI4
กระเซิง,kra2ʔ sZ1ŋ
กระแซะ,kra2ʔ sɛ4ʔ
กระฎุมพี,kra2ʔ du1m PI1
กระฎุมพีชั้นต่ำ,kra2ʔ du1m PI1 Ca4n ta2m
กระฎุมพีชั้นสูง,kra2ʔ du1m PI1 Ca4n sU5ŋ
กระดก,kra2ʔ do2k
กระดกกระดอน,kra2ʔ do2k kra2ʔ dX1n
กระด้ง,kra2ʔ do3ŋ
กระดอง,kra2ʔ dX1ŋ
กระดังงา,kra2ʔ da1ŋ ŋA1
กระดังงาจีน,kra2ʔ da1ŋ ŋA1 cI1n
กระดังงาไทย,kra2ʔ da1ŋ ŋA1 Ta1j
กระดังงาลนไฟ,kra2ʔ da1ŋ ŋA1 lo1n fa1j
กระดาก,kra2ʔ dA2k
กระดากใจ,kra2ʔ dA2k ca1j
กระด้าง,kra2ʔ dA3ŋ
กระด้างกระเดื่อง,kra2ʔ dA3ŋ kra2ʔ dR2ŋ
กระด้างกระเดื่องต่อรัฐบาล,kra2ʔ dA3ŋ kra2ʔ dR2ŋ tX2 ra4t Ta2 bA1n
กระด้างภัณฑ์,kra2ʔ dA3ŋ Pa1n
กระดาน,kra2ʔ dA1n
กระดานกระโดดน้ำ,kra2ʔ dA1n kra2ʔ dO2t nA4m
กระดานขาว,kra2ʔ dA1n KA5w
กระดานข่าว,kra2ʔ dA1n KA2w
กระดานข่าวอิเล็กทรอนิกส์,kra2ʔ dA1n KA2w ʔi2ʔ le4k TrX1 ni4k
กระดานชนวน,kra2ʔ dA1n Ca4 nV1n
กระดานซักผ้า,kra2ʔ dA1n sa4k PA3
กระดานดำ,kra2ʔ dA1n da1m
กระดานโต้คลื่น,kra2ʔ dA1n tO3 KlW3n
กระดานโต้ลม,kra2ʔ dA1n tO3 lo1m
กระดานถีบ,kra2ʔ dA1n TI2p
กระดานปิดประกาศโฆษณาภาพยนตร์,kra2ʔ dA1n pi2t pra2ʔ kA2t KO3t sa2 nA1 PA3p Pa4 jo1n
กระดานไม้สน,kra2ʔ dA1n mA4j so5n
กระดานรองรีด,kra2ʔ dA1n rX1ŋ rI3t
กระดานลื่น,kra2ʔ dA1n lW3n
กระดานเล่นสเกต,kra2ʔ dA1n le3n sa2ʔ ke4t
กระดานหก,kra2ʔ dA1n ho2k
กระดานหมากรุก,kra2ʔ dA1n mA2k ru4k
กระดาษ,kra2ʔ dA2t
กระดาษกรอง,kra2ʔ dA2t krX1ŋ
กระดาษเขียนจดหมาย,kra2ʔ dA2t KJ5n co2t mA5j
กระดาษแข็ง,kra2ʔ dA2t Kɛ5ŋ
กระดาษชำระ,kra2ʔ dA2t Ca1m ra4ʔ
กระดาษเช็ดปาก,kra2ʔ dA2t Ce4t pA2k
กระดาษเช็ดหน้า,kra2ʔ dA2t Ce4t nA3
กระดาษตะกั่ว,kra2ʔ dA2t ta2ʔ kV2
กระดาษถ่ายเอกสาร,kra2ʔ dA2t TA2j ʔE2k ka2 sA5n
กระดาษทราย,kra2ʔ dA2t sA1j
กระดาษทิชชู่,kra2ʔ dA2t Ti4t CU3
กระดาษที่ถอดออกจากแฟ้มได้,kra2ʔ dA2t TI3 TX2t ʔX2k cA2k fY4m da3j
กระดาษบันทึก,kra2ʔ dA2t ba1n Tɯ4k
กระดาษบันทึกข้อความ,kra2ʔ dA2t ba1n Tɯ4k KX3 KwA1m
กระดาษแบบนี้กรอบเกินไป,kra2ʔ dA2t bY2p nI4 krX2p kZ1n pa1j
กระดาษแผ่นหนึ่ง,kra2ʔ dA2t Pɛ2n nɯ2ŋ
กระดาษพิมพ์ดีด,kra2ʔ dA2t Pi1m dI2t
กระดาษยับ,kra2ʔ dA2t ja4p
กระดาษสา,kra2ʔ dA2t sA5
กระดาษสี,kra2ʔ dA2t sI5
กระดาษห่อของขวัญ,kra2ʔ dA2t hX2 KX5ŋ Kwa5n
กระดาษห้าม้วน,kra2ʔ dA2t hA3 mV4n
กระดาษอลูมิเนี่ยม,kra2ʔ dA2t ʔa2 lU1 mi4ʔ nJ3m
กระดาษเอสี่,kra2ʔ dA2t ʔE1 sI2
กระดิก,kra2ʔ di2k
กระดิกกระเดี้ย,kra2ʔ di2k kra2ʔ dJ3
กระดิกกระเดี้ยไม่ได้,kra2ʔ di2k kra2ʔ dJ3 ma3j da3j
กระดิกเท้า,kra2ʔ di2k TA4w
กระดิกนิ้ว,kra2ʔ di2k ni4w
กระดิกหาง,kra2ʔ di2k hA5ŋ
กระดิกหู,kra2ʔ di2k hU5
กระดิ่ง,kra2ʔ di2ŋ
กระดิ่งดังแล้ว,kra2ʔ di2ŋ da1ŋ lY4w
กระดิ่งประตู,kra2ʔ di2ŋ pra2ʔ tU1
กระดี่,kra2ʔ dI2
กระดี๊กระด๊า,kra2ʔ dI4 kra2ʔ dA4
กระดึ๊บ,kra2ʔ dɯ4p
กระดืบ,kra2ʔ dW2p
กระดุม,kra2ʔ du1m
กระดุมข้อมือเสื้อเชิ้ตชาย,kra2ʔ du1m KX3 mW1 sR3 CZ4t CA1j
กระดุมแป๊บ,kra2ʔ du1m pY4p
กระดุมพี,kra2ʔ du1m PI1
กระดูก,kra2ʔ dU2k
กระดูกก้นกบ,kra2ʔ dU2k ko3n ko2p
กระดูกกระเดี้ยว,kra2ʔ dU2k kra2ʔ dJ3w
กระดูกข้อเข่าเสื่อม,kra2ʔ dU2k KX3 Ka2w sR2m
กระดูกข้อเท้า,kra2ʔ dU2k KX3 TA4w
กระดูกขัดมัน,kra2ʔ dU2k Ka2t ma1n
กระดูกแข็ง,kra2ʔ dU2k Kɛ5ŋ
กระดูกแขนท่อนใน,kra2ʔ dU2k KY5n TX3n na1j
กระดูกแขนท่อนระหว่างข้อมือกับข้อศอก,kra2ʔ dU2k KY5n TX3n ra4ʔ wA2ŋ KX3 mW1 ka2p KX3 sX2k
กระดูกเชิงกราน,kra2ʔ dU2k CZ1ŋ krA1n
กระดูกน่อง,kra2ʔ dU2k nX3ŋ
กระดูกสะบัก,kra2ʔ dU2k sa2ʔ ba2k
กระดูกสะบ้า,kra2ʔ dU2k sa2ʔ bA3
กระดูกสันหลัง,kra2ʔ dU2k sa5n la5ŋ
กระดูกสันหลังของชาติ,kra2ʔ dU2k sa5n la5ŋ KX5ŋ CA3t
กระดูกหน้าแข้ง,kra2ʔ dU2k nA3 KY3ŋ
กระดูกหัก,kra2ʔ dU2k ha2k
กระดูกเหล็ก,kra2ʔ dU2k le2k
กระดูกไหปลาร้า,kra2ʔ dU2k ha5j plA1 rA4
กระดูกอ่อน,kra2ʔ dU2k ʔX2n
กระเด้ง,kra2ʔ de3ŋ
กระเด็น,kra2ʔ de1n
กระเด็นกระดอน,kra2ʔ de1n kra2ʔ dX1n
กระเดี้ย,kra2ʔ dJ3
กระเดียด,kra2ʔ dJ2t
กระเดี้ยว,kra2ʔ dJ3w
กระเดือก,kra2ʔ dR2k
กระเดื่อง,kra2ʔ dR2ŋ
กระเดื่องใจ,kra2ʔ dR2ŋ ca1j
กระแดะ,kra2ʔ dɛ2ʔ
กระแดะกระแด๋,kra2ʔ dɛ2ʔ kra2ʔ dY5
กระโดกกระเดก,kra2ʔ dO2k kra2ʔ dE2k
กระโดง,kra2ʔ dO1ŋ
กระโดน,kra2ʔ dO1n
กระได,kra2ʔ da1j
กระต็อบ,kra2ʔ tɔ2p
กระต๊อบ,kra2ʔ tX4p
กระตั้ว,kra2ʔ tV3
กระต่าย,kra2ʔ tA2j
กระต่ายแก้ว,kra2ʔ tA2j kY3w
กระต่ายขูดมะพร้าว,kra2ʔ tA2j KU2t ma4ʔ PrA4w
กระต่ายชมจันทร์,kra2ʔ tA2j Co1m ca1n
กระต่ายชมเดือน,kra2ʔ tA2j Co1m dR1n
กระต่ายตื่นตูม,kra2ʔ tA2j tW2n tU1m
กระต่ายทั่วไป,kra2ʔ tA2j TV3 pa1j
กระต่ายป่า,kra2ʔ tA2j pA2
กระต่ายสามขา,kra2ʔ tA2j sA5m KA5
กระต่ายหมายจันทร์,kra2ʔ tA2j mA5j ca1n
กระติก,kra2ʔ ti2k
กระติกน้ำ,kra2ʔ ti2k nA4m
กระติกน้ำร้อน,kra2ʔ ti2k nA4m rX4n
กระติบ,kra2ʔ ti2p
กระตือรือร้น,kra2ʔ tW1 rW1 ro4n
กระตือรือล้น,kra2ʔ tW1 rW1 lo4n
กระตุก,kra2ʔ tu2k
กระตุกกระติก,kra2ʔ tu2k kra2ʔ ti2k
กระตุ้งกระติ้ง,kra2ʔ tu3ŋ kra2ʔ ti3ŋ
กระตุ้น,kra2ʔ tu3n
กระตุ้นการเติบโตทางเศรษฐกิจ,kra2ʔ tu3n kA1n tZ2p tO1 TA1ŋ sE2t Ta2 ki2t
กระตุ้นความโกรธแค้นของมวลชน,kra2ʔ tu3n KwA1m krO2t KY4n KX5ŋ mV1n Co1n
กระตุ้นต่อมฮา,kra2ʔ tu3n tX2m hA1
กระตุ้นเตือน,kra2ʔ tu3n tR1n
กระตุ้นประสาท,kra2ʔ tu3n pra2ʔ sA2t
กระตุ้นเศรษฐกิจ,kra2ʔ tu3n sE2t Ta2 ki2t
กระเตง,kra2ʔ tE1ŋ
กระเตื้อง,kra2ʔ tR3ŋ
กระแต,kra2ʔ tY1
กระโตกกระตาก,kra2ʔ tO2k kra2ʔ tA2k
กระโต้งโห่ง,kra2ʔ tO3ŋ hO2ŋ
กระถด,kra2ʔ To2t
กระถาง,kra2ʔ TA5ŋ
กระถางต้นไม้,kra2ʔ TA5ŋ to3n mA4j
กระถางธูป,kra2ʔ TA5ŋ TU3p
กระถิน,kra2ʔ Ti5n
กระถินณรงค์,kra2ʔ Ti5n na4 ro1ŋ
กระเถิบ,kra2ʔ TZ2p
กระโถน,kra2ʔ TO5n
กระโถนปากแตร,kra2ʔ TO5n pA2k trY1
กระทง,kra2ʔ To1ŋ
กระทงความ,kra2ʔ To1ŋ KwA1m
กระทบ,kra2ʔ To4p
กระทบกระเทียบ,kra2ʔ To4p kra2ʔ TJ3p
กระทบกระเทือน,kra2ʔ To4p kra2ʔ TR1n
กระทบกระแทก,kra2ʔ To4p kra2ʔ TY3k
กระทบไหล่,kra2ʔ To4p la2j
กระทบไหล่คนดัง,kra2ʔ To4p la2j Ko1n da1ŋ
กระทบไหล่ดารา,kra2ʔ To4p la2j dA1 rA1
กระทบกระทั่ง,kra2ʔ To4p kra2ʔ Ta3ŋ
กระทบชิ่ง,kra2ʔ To4p Ci3ŋ
กระทรวง,kra2ʔ sV1ŋ
กระทรวงกลาโหม,kra2ʔ sV1ŋ ka2 lA1 hO5m
กระทรวงกะลาโหม,kra2ʔ sV1ŋ ka2ʔ lA1 hO5m
กระทรวงการคลัง,kra2ʔ sV1ŋ kA1n Kla1ŋ
กระทรวงการต่างประเทศ,kra2ʔ sV1ŋ kA1n tA2ŋ pra2ʔ TE3t
กระทรวงการท่องเที่ยวและกีฬา,kra2ʔ sV1ŋ kA1n TX3ŋ TJ3w lɛ4ʔ kI1 lA1
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,kra2ʔ sV1ŋ kA1n Pa4t Ta4 nA1 sa5ŋ Ko1m lɛ4ʔ KwA1m ma3n Ko1ŋ KX5ŋ ma4 nu4t
กระทรวงเกรดเอ,kra2ʔ sV1ŋ krE2t ʔE1
กระทรวงเกษตรและสหกรณ์,kra2ʔ sV1ŋ ka2 sE2t lɛ4ʔ sa2 ha2 kX1n
กระทรวงคมนาคม,kra2ʔ sV1ŋ Ka4 ma4 nA1 Ko1m
กระทรวงความมั่นคงแห่งดินแดนมาตุภูมิ,kra2ʔ sV1ŋ KwA1m ma3n Ko1ŋ hɛ2ŋ di1n dY1n mA1 tu2ʔ PU1m
กระทรวงต่างประเทศ,kra2ʔ sV1ŋ tA2ŋ pra2ʔ TE3t
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,kra2ʔ sV1ŋ sa4p Pa4 jA1 kX1n Ta1m ma4 CA3t lɛ4ʔ si2ŋ wY3t lX4m
กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,kra2ʔ sV1ŋ TE3k nO1 lO1 jI1 sA5 ra4 so5n TE3t lɛ4ʔ kA1n sW2 sA5n
กระทรวงพลังงาน,kra2ʔ sV1ŋ Pa4 la1ŋ ŋA1n
กระทรวงพาณิชย์,kra2ʔ sV1ŋ PA1 ni4t
กระทรวงมหาดไทย,kra2ʔ sV1ŋ ma4 hA2t Ta1j
กระทรวงยุติธรรม,kra2ʔ sV1ŋ ju4t ti2ʔ Ta1m
กระทรวงแรงงาน,kra2ʔ sV1ŋ rY1ŋ ŋA1n
กระทรวงแรงงานและสวัสดิการสังคม,kra2ʔ sV1ŋ rY1ŋ ŋA1n lɛ4ʔ sa2 wa2t di2ʔ kA1n sa5ŋ Ko1m
กระทรวงวัฒนธรรม,kra2ʔ sV1ŋ wa4t Ta4 na4 Ta1m
กระทรวงวิทยาศาสตร์เทคโนโลยีและสิ่งแวดล้อม,kra2ʔ sV1ŋ wi4t Ta4 jA1 sA2t TE3k nO1 lO1 jI1 lɛ4ʔ si2ŋ wY3t lX4m
กระทรวงวิทยาศาสตร์และเทคโนโลยี,kra2ʔ sV1ŋ wi4t Ta4 jA1 sA2t lɛ4ʔ TE3k nO1 lO1 jI1
กระทรวงศึกษาธิการ,kra2ʔ sV1ŋ sɯ2k sA5 Ti4ʔ kA1n
กระทรวงสาธารณสุข,kra2ʔ sV1ŋ sA5 TA1 ra4 na4 su2k
กระทรวงอุตสาหกรรม,kra2ʔ sV1ŋ ʔu2t sA5 ha2ʔ ka1m
กระทรวงไอซีที,kra2ʔ sV1ŋ ʔa1j sI1 TI1
กระท้อน,kra2ʔ TX4n
กระท่อนกระแท่น,kra2ʔ TX3n kra2ʔ TY3n
กระท่อม,kra2ʔ TX3m
กระท่อมมุงแฝก,kra2ʔ TX3m mu1ŋ fY2k
กระทะ,kra2ʔ Ta4ʔ
กระทะก้นแบน,kra2ʔ Ta4ʔ ko3n bY1n
กระทะผสมปูนทราย,kra2ʔ Ta4ʔ Pa2 so5m pU1n sA1j
กระทะล้อ,kra2ʔ Ta4ʔ lX4
กระทั่ง,kra2ʔ Ta3ŋ
กระทันหัน,kra2ʔ Ta1n ha5n
กระทา,kra2ʔ TA1
กระทิง,kra2ʔ Ti1ŋ
กระทิงแดง,kra2ʔ Ti1ŋ dY1ŋ
กระทิงเปลี่ยว,kra2ʔ Ti1ŋ plJ2w
กระทืบ,kra2ʔ TW3p
กระทุง,kra2ʔ Tu1ŋ
กระทุ้ง,kra2ʔ Tu4ŋ
กระทุ้งเส้า,kra2ʔ Tu4ŋ sa3w
กระทุ่ม,kra2ʔ Tu3m
กระทู้,kra2ʔ TU4
กระทู้ถาม,kra2ʔ TU4 TA5m
กระเท่,kra2ʔ Te3ʔ
กระเทย,kra2ʔ TZ1j
กระเท่เร่,kra2ʔ Te3ʔ re3ʔ
กระเทียบ,kra2ʔ TJ3p
กระเทียม,kra2ʔ TJ1m
กระเทียมดอง,kra2ʔ TJ1m dX1ŋ
กระเทียมโทน,kra2ʔ TJ1m TO1n
กระเทียมใบ,kra2ʔ TJ1m ba1j
กระเทือน,kra2ʔ TR1n
กระเทือนใจ,kra2ʔ TR1n ca1j
กระแทก,kra2ʔ TY3k
กระแทกแดกดัน,kra2ʔ TY3k dY2k da1n
กระแทกกระทั้น,kra2ʔ TY3k kra2ʔ Ta4n
กระโทงแทง,kra2ʔ TO1ŋ TY1ŋ
กระแนะกระแหน,kra2ʔ nɛ4ʔ kra2ʔ nY5
กระบวน,kra2ʔ bV1n
กระบวนการ,kra2ʔ bV1n kA1n
กระบวนการทางธรรมชาติ,kra2ʔ bV1n kA1n TA1ŋ Ta1m ma4 CA3t
กระบวนการยุติธรรม,kra2ʔ bV1n kA1n ju4t ti2ʔ Ta1m
กระบวนการสรรหา,kra2ʔ bV1n kA1n sa5n hA5
กระบวนการสร้างและสลาย,kra2ʔ bV1n kA1n sA3ŋ lɛ4ʔ sa2 lA5j
กระบวนการเสรีไทย,kra2ʔ bV1n kA1n sE5 rI1 Ta1j
กระบวนกู้ชาติ,kra2ʔ bV1n kU3 CA3t
กระบวนทหาร,kra2ʔ bV1n Ta4 hA5n
กระบวนทัพ,kra2ʔ bV1n Ta4p
กระบวนท่า,kra2ʔ bV1n TA3
กระบวนพยุหยาตราทางสถลมารค,kra2ʔ bV1n Pa4 ju4ʔ ha2 jA3t rA1 TA1ŋ sa2 To5n mA3k
กระบวนเรือพยุหยาตราทางชลมารค,kra2ʔ bV1n rR1 Pa4 ju4ʔ ha2 jA3t rA1 TA1ŋ Co1n la4 mA3k
กระบวนแห่ศพ,kra2ʔ bV1n hY2 so2p
กระบวนทัศน์,kra2ʔ bV1n Ta4t
กระบวย,kra2ʔ bV1j
กระบอก,kra2ʔ bX2k
กระบอกเกลียว,kra2ʔ bX2k klJ1w
กระบอกฉีด,kra2ʔ bX2k CI2t
กระบอกตั๋วรถเมล์,kra2ʔ bX2k tV5 ro4t mE1
กระบอกตา,kra2ʔ bX2k tA1
กระบอกน้ำร้อน,kra2ʔ bX2k nA4m rX4n
กระบอกปืน,kra2ʔ bX2k pW1n
กระบอกสูบ,kra2ʔ bX2k sU2p
กระบอกเสียง,kra2ʔ bX2k sJ5ŋ
กระบอกกรองน้ำ,kra2ʔ bX2k krX1ŋ nA4m
กระบอง,kra2ʔ bX1ŋ
กระบองเพชร,kra2ʔ bX1ŋ Pe4t
กระบะ,kra2ʔ ba2ʔ
กระบัง,kra2ʔ ba1ŋ
กระบังลม,kra2ʔ ba1ŋ lo1m
กระบังหน้านิรภัย,kra2ʔ ba1ŋ nA3 ni4ʔ ra4 Pa1j
กระบาก,kra2ʔ bA2k
กระบาย,kra2ʔ bA1j
กระบาล,kra2ʔ bA1n
กระบิ้ง,kra2ʔ bi3ŋ
กระบิดกระบวน,kra2ʔ bi2t kra2ʔ bV1n
กระบิล,kra2ʔ bi1n
กระบี่,kra2ʔ bI2
กระบี่กระบอง,kra2ʔ bI2 kra2ʔ bX1ŋ
กระบือ,kra2ʔ bW1
กระบุง,kra2ʔ bu1ŋ
กระบุงโกย,kra2ʔ bu1ŋ kO1j
กระบุ่มกระบ่าม,kra2ʔ bu2m kra2ʔ bA2m
กระเบง,kra2ʔ bE1ŋ
กระเบน,kra2ʔ bE1n
กระเบนเหน็บ,kra2ʔ bE1n ne2p
กระเบียด,kra2ʔ bJ2t
กระเบียดกระเสียร,kra2ʔ bJ2t kra2ʔ sJ5n
กระเบื้อง,kra2ʔ bR3ŋ
กระเบื้องเคลือบ,kra2ʔ bR3ŋ KlR3p
กระเบื้องซีเม็นต์ใยหินแผ่นเรียบ,kra2ʔ bR3ŋ sI1 me1n ja1j hi5n Pɛ2n rJ3p
กระเบื้องเซรามิค,kra2ʔ bR3ŋ sE1 rA1 mi4k
กระเบื้องปูพื้น,kra2ʔ bR3ŋ pU1 PW4n
กระเบื้องยาง,kra2ʔ bR3ŋ jA1ŋ
กระเบื้องลอน,kra2ʔ bR3ŋ lX1n
กระเบื้องลูกฟูก,kra2ʔ bR3ŋ lU3k fU3k
กระเบื้องหลังคา,kra2ʔ bR3ŋ la5ŋ KA1
กระแบะมือ,kra2ʔ bɛ2ʔ mW1
กระปรี้กระเปร่า,kra2ʔ prI3 kra2ʔ pra2w
กระปลกกระเปลี้ย,kra2ʔ plo2k kra2ʔ plJ3
กระป้อกระแป้,kra2ʔ pX3 kra2ʔ pY3
กระป๋อง,kra2ʔ pX5ŋ
กระป๋องน้ำมัน,kra2ʔ pX5ŋ na4m ma1n
กระป๋องรดน้ำ,kra2ʔ pX5ŋ ro4t nA4m
กระป๋องโลหะ,kra2ʔ pX5ŋ lO1 ha2ʔ
กระป๋องสี,kra2ʔ pX5ŋ sI5
กระปอดกระแปด,kra2ʔ pX2t kra2ʔ pY2t
กระปิดกระปอย,kra2ʔ pi2t kra2ʔ pX1j
กระปุก,kra2ʔ pu2k
กระปุกใส่นม,kra2ʔ pu2k sa2j no1m
กระปุกหมู,kra2ʔ pu2k mU5
กระปุกออมสิน,kra2ʔ pu2k ʔX1m si5n
กระปุ๊กลุก,kra2ʔ pu4k lu4k
กระปุกหลุก,kra2ʔ pu2k lu2k
กระเป๋า,kra2ʔ pa5w
กระเป๋าเงิน,kra2ʔ pa5w ŋə1n
กระเป๋าฉีก,kra2ʔ pa5w CI2k
กระเป๋าดินสอ,kra2ʔ pa5w di1n sX5
กระเป๋าเดินทาง,kra2ʔ pa5w dZ1n TA1ŋ
กระเป๋าเดินทางใบใหญ่,kra2ʔ pa5w dZ1n TA1ŋ ba1j ja2j
กระเป๋าเดินทางล้อลาก,kra2ʔ pa5w dZ1n TA1ŋ lX4 lA3k
กระเป๋าตังค์,kra2ʔ pa5w ta1ŋ
กระเป๋าถือ,kra2ʔ pa5w TW5
กระเป๋าน้ำร้อน,kra2ʔ pa5w nA4m rX4n
กระเป๋าไฟฟ้า,kra2ʔ pa5w fa1j fA4
กระเป๋าสะพาย,kra2ʔ pa5w sa2ʔ PA1j
กระเป๋าสะพายหลัง,kra2ʔ pa5w sa2ʔ PA1j la5ŋ
กระเป๋าเสื้อ,kra2ʔ pa5w sR3
กระเป๋าเสื้อผ้า,kra2ʔ pa5w sR3 PA3
กระเป๋าใส่เศษสตางค์,kra2ʔ pa5w sa2j sE2t sa2 tA1ŋ
กระเป๋าหน้าท้อง,kra2ʔ pa5w nA3 TX4ŋ
กระเป๋าหนีบ,kra2ʔ pa5w nI2p
กระเป๋าหิ้ว,kra2ʔ pa5w hi3w
กระเป๋าหิ้วใส่เอกสาร,kra2ʔ pa5w hi3w sa2j ʔE2k ka2 sA5n
กระเป๋าอุ้มเด็ก,kra2ʔ pa5w ʔu3m de2k
กระเป๋าเอกสาร,kra2ʔ pa5w ʔE2k ka2 sA5n
กระโปก,kra2ʔ pO2k
กระโปรง,kra2ʔ prO1ŋ
กระโปรงชั้นใน,kra2ʔ prO1ŋ Ca4n na1j
กระโปรงท้ายรถ,kra2ʔ prO1ŋ TA4j ro4t
กระโปรงรถ,kra2ʔ prO1ŋ ro4t
กระโปรงสั้น,kra2ʔ prO1ŋ sa3n
กระโปรงสุ่มไก่,kra2ʔ prO1ŋ su2m ka2j
